edges,perf
20,1.27613084415
20,1.32427530139
20,1.3411167543
21,1.58328093815
21,1.40873952722
21,1.40183868596
21,1.69227841657
21,1.3202501676
21,1.22632767775
21,1.25750571756
21,1.17385351788
21,1.26203672413
21,1.07583436244
22,1.2965305904
22,1.3773940991
22,1.21869091273
22,1.49776445771
22,1.24355556493
22,1.22965153038
22,1.40679238001
22,1.26466297834
22,1.44111215639
22,1.23886202061
23,1.55140818241
23,1.46545451904
23,1.38395763381
23,1.19999384419
23,1.44010596761
23,1.22975744601
23,1.29116321026
23,1.53303526223
23,1.22057890079
23,1.23431236535
24,1.3239849582
24,1.37522137811
24,1.37889015132
24,1.44426792616
24,1.45377645199
24,1.45990370922
24,1.17783088218
24,1.15223410011
24,1.26088196387
24,1.28593505591
25,1.41432222735
25,1.18552607536
25,1.16185768298
25,1.36157848569
25,1.41020515374
25,1.38479429919
25,1.36107459989
25,1.26552201623
25,1.40296378238
25,1.3761967223
26,1.4692038352
26,1.22602951005
26,1.10968660324
26,1.32094049462
26,1.31797162403
26,1.33150903596
26,1.40809760541
26,1.34486042072
26,1.22836377606
26,1.27639124438
27,1.1009366818
27,1.44896232037
27,1.39158528085
27,1.52026556185
27,1.36660440473
27,1.46177739531
27,1.3315522642
27,1.17013581709
27,1.43393782981
27,1.37746710923
28,1.23454833628
28,1.28404264583
28,1.39013899112
28,1.19968159746
28,1.37163422968
28,1.25256813012
28,1.60420876299
28,1.23197616903
28,1.10729010684
28,1.24574898393
29,1.42080742516
29,1.53319382019
29,1.24559812354
29,1.42528413913
29,1.59444413425
29,1.45646210732
29,1.46668082541
29,1.42920338416
29,1.63322622794
29,1.31174926189
30,1.43425918451
30,1.19900299088
30,1.40591967605
30,1.01608107496
30,1.44308308989
30,1.18835717787
30,1.349420799
30,1.3326723895
30,1.33384922103
30,1.33469785972
31,1.2882208087
31,1.17199667407
31,1.2196997447
31,1.46538646653
31,1.48048034018
31,1.45106104917
31,1.37069922612
31,1.42699215824
31,1.24025815965
31,1.10794520875
32,1.31445830294
32,1.18984116989
32,1.67969349187
32,1.20487166772
32,1.41259035627
32,1.50231650665
32,1.22375425335
32,1.32584270222
32,1.31350607285
32,1.52874845938
33,1.56893028715
33,1.53273210145
33,1.24198861041
33,0.974997072567
33,1.25041620136
33,1.26701127432
33,1.34913642698
33,1.22730218931
33,1.48397670186
33,1.23689081947
34,1.23288296623
34,1.19372629945
34,1.53934771052
34,1.23680172348
34,1.18973146701
34,1.36360135468
34,1.31583724996
34,1.27563679772
34,1.32184820462
34,1.49248976506
35,1.31158980125
35,0.996779181174
35,1.24102696808
35,1.251701664
35,1.53266612397
35,1.39725133648
35,1.35612072695
35,1.52009607447
35,1.2573819616
35,1.20592778362
36,1.1422903109
36,1.13491309648
36,1.38512864981
36,1.35492103443
36,1.1336003254
36,1.53002090464
36,1.31500375807
36,1.3494991057
36,1.59709659302
36,1.09700914466
37,1.27777006919
37,1.21875023913
37,1.24468635184
37,1.28796479768
37,1.30204595987
37,1.38380599617
37,0.989179468649
37,1.2730209257
37,1.53450308798
37,1.20639201843
38,1.11596394397
38,1.42054317539
38,1.31435072946
38,1.50452148133
38,1.03329839277
38,1.08541766419
38,1.3053129835
38,1.34155788442
38,1.46598130166
38,1.53143701252
39,1.34357632972
39,1.14267115519
39,1.45017066924
39,1.44052897209
39,1.57796081821
39,1.46340498871
39,1.32795976877
39,1.38641466538
39,1.22115580074
39,1.33735122133
40,1.22047894044
40,1.24927484611
40,1.07768010266
40,1.41333022764
40,1.37846736033
40,1.17565162093
40,1.54085830157
40,1.19793035998
40,1.36485024597
40,1.52496991415
41,1.23745946028
41,1.56822116978
41,1.39177601402
41,1.22172611621
41,1.27582468196
41,0.960029533791
41,1.26635349203
41,1.34207495162
41,1.33854801667
41,1.30849849113
42,1.21890666253
42,1.29221875212
42,0.72205108874
42,1.468613511
42,1.51382081178
42,1.48899112161
42,1.46015365247
42,1.46004941301
42,1.36602412449
42,1.52765208479
43,1.21804172336
43,1.62586118333
43,1.37332271818
43,1.2852670269
43,1.66961735239
43,1.18804894471
43,1.53951453399
43,1.43888755981
43,1.46254131418
43,0.920472966145
