Mutual Information of States,variation_of_information,retrievability
1.57356874204,0.640565658559,0.07471999999999998
1.63926437615,0.405394275258,0.4995200000000001
1.64920136802,0.0900557091399,0.6800000000000002
1.67618020733,0.0490953857442,0.6643199999999999
1.6419285651,0.354497822394,0.6728000000000008
1.62110790527,0.245393435332,0.6880000000000009
1.65642332582,0.242507459803,0.6288000000000005
1.64163941851,0.0,0.25688000000000005
1.64284172647,0.242860260559,0.6719999999999986
1.69986592459,0.0191478824771,0.6800000000000002
1.57142093586,0.406054908225,0.5247199999999997
1.64122423263,0.357083489023,0.679200000000001
1.63540581746,0.257512486837,0.6880000000000009
1.59859277416,0.306858692293,0.6153599999999999
1.56058396778,0.618941948918,0.6731200000000005
1.65611971121,0.300652981668,0.7039999999999997
1.60244506263,0.242026137921,0.6880000000000009
1.64066268125,0.310508669663,0.6827200000000011
1.64592263358,0.733952599659,0.626159999999999
1.63064003907,0.323103480363,0.6916000000000001
1.7443968762,0.0,0.6159999999999998
1.75177509253,0.0116482488393,0.10927999999999997
1.68381725379,0.679343939239,0.4315199999999998
1.69411630228,0.68825764119,0.5833600000000009
1.70892444308,0.642257328978,0.06448000000000001
1.72331574959,0.572174196986,0.6400000000000005
1.77050122028,0.485734521366,0.6319999999999992
1.71720582607,0.642112173522,0.6240000000000009
1.7153332925,0.404533597724,0.06168
1.72647544561,0.448595465782,0.6299199999999993
1.74027080339,0.449562642908,0.6159999999999998
1.71083854073,0.649696090096,0.6159999999999998
1.74477400434,0.595768157974,0.4075199999999997
1.71904351395,0.56331740747,0.6319999999999992
1.68108582735,0.51906249941,0.5247199999999993
1.7127401279,0.945971201977,0.6586399999999998
1.74797374627,0.521602071544,0.4366399999999999
1.69902889216,0.238956201129,0.6240000000000009
1.72696200609,0.406893306174,0.6252799999999994
1.71276302192,0.893724936549,0.6158399999999996
1.73509758245,0.242507459803,0.6240000000000009
1.73396455161,0.237399748617,0.6382400000000004
1.73639805618,0.0,-0.12816000000000005
1.73694329422,0.648931383124,0.6400000000000005
1.72481797265,0.657086774089,0.6600800000000003
1.72855711096,0.542399812622,0.6319999999999992
1.78228799847,0.0230472786328,0.32704
1.72402373161,0.436054721772,0.6319999999999992
1.7489423058,0.280632060324,0.6221600000000008
1.77844005401,0.44284618794,0.6188800000000009
1.82196414723,0.872450228459,0.6048799999999998
1.81959974154,0.818161680312,0.37295999999999985
1.84739199102,0.759189737041,0.5412800000000003
1.86038638397,0.504509524161,0.3332799999999999
1.8534100539,0.242507459803,0.00928000000000002
1.82717837111,0.978270236534,0.5232799999999993
1.84900834829,0.9526758455,0.5156799999999993
1.82761070717,0.795184883248,0.5519999999999997
1.84355563007,0.747667834245,0.50056
1.8689301214,0.478505511181,0.6214400000000007
1.79891518616,0.966521584978,0.5913600000000003
1.85118082968,0.768484313909,0.5618399999999996
1.8143634637,1.16407342917,-0.5305600000000004
1.83888513407,0.844514763831,0.49959999999999993
1.81645245549,0.921171722796,0.48224000000000017
1.87687056686,0.304939115668,0.43632
1.82146252926,0.855149857717,0.2326399999999998
1.84702372772,0.914504448179,0.5593600000000003
1.79015890922,1.03494599628,0.5996800000000007
1.85634977767,0.808291343801,0.5264799999999998
